epoch,step,train_acc,train_loss_epoch,train_loss_step,val_acc,val_f1,val_loss,val_precision,val_recall
0,9,,,2.80859375,,,,,
0,19,,,2.4873046875,,,,,
0,29,,,2.5556640625,,,,,
0,39,,,3.2109375,,,,,
0,49,,,2.8212890625,,,,,
0,59,,,2.564453125,,,,,
0,69,,,2.76171875,,,,,
0,79,,,2.1748046875,,,,,
0,89,,,2.6796875,,,,,
0,99,,,2.25244140625,,,,,
0,109,,,1.77734375,,,,,
0,119,,,1.61962890625,,,,,
0,129,,,2.3212890625,,,,,
0,139,,,2.943359375,,,,,
0,149,,,2.8837890625,,,,,
0,159,,,2.400390625,,,,,
0,169,,,1.701171875,,,,,
0,179,,,1.86083984375,,,,,
0,189,,,1.79248046875,,,,,
0,199,,,2.90234375,,,,,
0,199,,,,0.33000001311302185,0.24666661024093628,2.3392386436462402,0.24333329498767853,0.2633332908153534
0,199,0.19499999284744263,2.498326301574707,,,,,,
1,209,,,3.322265625,,,,,
1,219,,,1.6748046875,,,,,
1,229,,,1.74609375,,,,,
1,239,,,1.79541015625,,,,,
1,249,,,2.28173828125,,,,,
1,259,,,1.64306640625,,,,,
1,269,,,2.40283203125,,,,,
1,279,,,2.8203125,,,,,
1,289,,,2.955078125,,,,,
1,299,,,2.24609375,,,,,
1,309,,,3.005859375,,,,,
1,319,,,3.236328125,,,,,
1,329,,,1.597900390625,,,,,
1,339,,,2.23388671875,,,,,
1,349,,,2.91015625,,,,,
1,359,,,2.01123046875,,,,,
1,369,,,1.236328125,,,,,
1,379,,,1.591796875,,,,,
1,389,,,2.2275390625,,,,,
1,399,,,2.104736328125,,,,,
1,399,,,,0.3499999940395355,0.25999993085861206,2.078120470046997,0.25333330035209656,0.2733333110809326
1,399,0.3700000047683716,2.0740346908569336,,,,,,
2,409,,,1.43896484375,,,,,
2,419,,,3.13671875,,,,,
2,429,,,1.20703125,,,,,
2,439,,,1.5751953125,,,,,
2,449,,,1.71484375,,,,,
2,459,,,0.65020751953125,,,,,
2,469,,,0.910888671875,,,,,
2,479,,,1.43597412109375,,,,,
2,489,,,1.234619140625,,,,,
2,499,,,1.046875,,,,,
2,509,,,2.703125,,,,,
2,519,,,1.17626953125,,,,,
2,529,,,1.67041015625,,,,,
2,539,,,1.353515625,,,,,
2,549,,,0.87451171875,,,,,
2,559,,,0.3184814453125,,,,,
2,569,,,1.7236328125,,,,,
2,579,,,1.79248046875,,,,,
2,589,,,0.899169921875,,,,,
2,599,,,1.0322265625,,,,,
2,599,,,,0.4000000059604645,0.31999990344047546,2.407076835632324,0.31999993324279785,0.32499992847442627
2,599,0.5450000166893005,1.5148413181304932,,,,,,
3,609,,,0.893035888671875,,,,,
3,619,,,0.84619140625,,,,,
3,629,,,0.263427734375,,,,,
3,639,,,0.241424560546875,,,,,
3,649,,,1.2998046875,,,,,
3,659,,,0.9881591796875,,,,,
3,669,,,0.92138671875,,,,,
3,679,,,1.064453125,,,,,
3,689,,,1.146209716796875,,,,,
3,699,,,0.8955078125,,,,,
3,709,,,0.3973388671875,,,,,
3,719,,,0.97711181640625,,,,,
3,729,,,1.34423828125,,,,,
3,739,,,1.2260589599609375,,,,,
3,749,,,1.39892578125,,,,,
3,759,,,1.22314453125,,,,,
3,769,,,0.9649658203125,,,,,
3,779,,,1.25775146484375,,,,,
3,789,,,1.82177734375,,,,,
3,799,,,0.5638427734375,,,,,
3,799,,,,0.4000000059604645,0.32666656374931335,2.234260082244873,0.3233332335948944,0.33333325386047363
3,799,0.6875,1.0667179822921753,,,,,,
4,809,,,0.46466064453125,,,,,
4,819,,,0.46270751953125,,,,,
4,829,,,0.588134765625,,,,,
4,839,,,1.11187744140625,,,,,
4,849,,,0.242431640625,,,,,
4,859,,,0.859130859375,,,,,
4,869,,,1.21685791015625,,,,,
4,879,,,0.61865234375,,,,,
4,889,,,0.330810546875,,,,,
4,899,,,1.377685546875,,,,,
4,909,,,0.162994384765625,,,,,
4,919,,,0.64990234375,,,,,
4,929,,,1.21044921875,,,,,
4,939,,,0.79241943359375,,,,,
4,949,,,0.310333251953125,,,,,
4,959,,,0.1688232421875,,,,,
4,969,,,0.09161376953125,,,,,
4,979,,,0.269287109375,,,,,
4,989,,,0.8096961975097656,,,,,
4,999,,,1.0380859375,,,,,
4,999,,,,0.4300000071525574,0.3466666340827942,2.347252607345581,0.3499999940395355,0.3449999690055847
4,999,0.8550000190734863,0.6532277464866638,,,,,,
5,1009,,,0.89453125,,,,,
5,1019,,,0.29156494140625,,,,,
5,1029,,,0.123016357421875,,,,,
5,1039,,,0.32196044921875,,,,,
5,1049,,,0.35094451904296875,,,,,
5,1059,,,0.199493408203125,,,,,
5,1069,,,0.1884765625,,,,,
5,1079,,,0.189483642578125,,,,,
5,1089,,,0.19024658203125,,,,,
5,1099,,,0.2993011474609375,,,,,
5,1109,,,0.40606689453125,,,,,
5,1119,,,1.13427734375,,,,,
5,1129,,,0.131439208984375,,,,,
5,1139,,,0.176788330078125,,,,,
5,1149,,,0.0454254150390625,,,,,
5,1159,,,0.3699951171875,,,,,
5,1169,,,0.24785614013671875,,,,,
5,1179,,,0.02175140380859375,,,,,
5,1189,,,0.06304168701171875,,,,,
5,1199,,,0.1204376220703125,,,,,
5,1199,,,,0.4300000071525574,0.35333332419395447,1.8125630617141724,0.3499999940395355,0.36000001430511475
5,1199,0.9750000238418579,0.3404527008533478,,,,,,
6,1209,,,0.49627685546875,,,,,
6,1219,,,0.10062408447265625,,,,,
6,1229,,,0.74774169921875,,,,,
6,1239,,,0.2569580078125,,,,,
6,1249,,,0.0874176025390625,,,,,
6,1259,,,0.0659942626953125,,,,,
6,1269,,,0.1717529296875,,,,,
6,1279,,,0.051666259765625,,,,,
6,1289,,,0.3018798828125,,,,,
6,1299,,,0.271453857421875,,,,,
6,1309,,,0.75335693359375,,,,,
6,1319,,,0.7732162475585938,,,,,
6,1329,,,0.14788818359375,,,,,
6,1339,,,0.1746826171875,,,,,
6,1349,,,0.2454833984375,,,,,
6,1359,,,0.3664398193359375,,,,,
6,1369,,,0.03936004638671875,,,,,
6,1379,,,0.03662109375,,,,,
6,1389,,,0.3246917724609375,,,,,
6,1399,,,0.177642822265625,,,,,
6,1399,,,,0.44999998807907104,0.36666664481163025,1.7627403736114502,0.3733333349227905,0.3633333146572113
6,1399,0.9649999737739563,0.29903948307037354,,,,,,
7,1409,,,0.0475311279296875,,,,,
7,1419,,,0.39691162109375,,,,,
7,1429,,,0.0490875244140625,,,,,
7,1439,,,0.08673095703125,,,,,
7,1449,,,0.04084014892578125,,,,,
7,1459,,,0.2220458984375,,,,,
7,1469,,,0.073272705078125,,,,,
7,1479,,,0.02685546875,,,,,
7,1489,,,0.1357421875,,,,,
7,1499,,,0.0927581787109375,,,,,
7,1509,,,0.26812744140625,,,,,
7,1519,,,0.51837158203125,,,,,
7,1529,,,0.0503997802734375,,,,,
7,1539,,,0.5418205261230469,,,,,
7,1549,,,0.1259613037109375,,,,,
7,1559,,,0.025302886962890625,,,,,
7,1569,,,0.1749267578125,,,,,
7,1579,,,0.162994384765625,,,,,
7,1589,,,0.334716796875,,,,,
7,1599,,,0.0571441650390625,,,,,
7,1599,,,,0.4399999976158142,0.3399999737739563,1.9064545631408691,0.34333327412605286,0.33833327889442444
7,1599,0.9925000071525574,0.21881234645843506,,,,,,
